etf_ticker,stock_ticker,stock_name,sector,weight_pct,date
00929,2303,聯華電子,晶圓代工,12.14,2026-06-05
00929,2454,聯發科技,IC設計,10.29,2026-06-05
00929,2357,華碩電腦,電腦週邊,7.04,2026-06-05
00929,6239,力成科技,封測,5.58,2026-06-05
00929,3008,大立光電,光學鏡頭,4.81,2026-06-05
00929,2404,漢唐集成,半導體設備材料,4.23,2026-06-05
00929,6488,環球晶圓,半導體設備材料,3.74,2026-06-05
00929,3036,文曄科技,電子通路,3.07,2026-06-05
00929,3044,健鼎科技,PCB,2.94,2026-06-05
00929,3260,威剛科技,記憶體,2.86,2026-06-05
00929,3034,聯詠科技,IC設計,2.75,2026-06-05
00929,2301,光寶科技,電源供應,2.61,2026-06-05
00929,3264,欣銓科技,封測,2.42,2026-06-05
00929,5347,世界先進,晶圓代工,2.27,2026-06-05
00929,5536,聖暉工程,半導體設備材料,2.26,2026-06-05
00929,2324,仁寶電腦,電子代工,2.01,2026-06-05
00929,6257,矽格股份,封測,1.96,2026-06-05
00929,2330,台灣積體,晶圓代工,1.87,2026-06-05
00929,2353,宏碁股份,電腦週邊,1.72,2026-06-05
00929,5483,中美矽晶,半導體設備材料,1.7,2026-06-05
00929,3702,大聯大控,電子通路,1.65,2026-06-05
00929,4938,和碩聯合,電子代工,1.63,2026-06-05
00929,3211,順達科技,電源供應,1.47,2026-06-05
00929,6548,長華科技,半導體設備材料,1.41,2026-06-05
00929,6147,頎邦科技,封測,1.34,2026-06-05
00929,2474,可成科技,其他電子,1.32,2026-06-05
00929,3090,日電貿股,電子通路,1.13,2026-06-05
00929,3563,牧德科技,機械自動化,1.07,2026-06-05
00929,4966,譜瑞-KY,IC設計,1.04,2026-06-05
00929,3680,家登精密,半導體設備材料,1.03,2026-06-05
00929,2347,聯強國際,電子通路,0.93,2026-06-05
00929,2385,群光電子,電腦週邊,0.7,2026-06-05
00929,8422,可寧衛股,其他,0.59,2026-06-05
00929,6278,台灣表面,電子代工,0.52,2026-06-05
00929,6121,新普科技,電源供應,0.51,2026-06-05
00929,3005,神基控股,電腦週邊,0.49,2026-06-05
00929,2458,義隆電子,IC設計,0.47,2026-06-05
00929,6188,廣明光電,電腦週邊,0.46,2026-06-05
00929,3227,原相科技,IC設計,0.43,2026-06-05
00929,8070,長華電材,半導體設備材料,0.42,2026-06-05
00929,6176,瑞儀光電,光電顯示,0.32,2026-06-05
00929,4915,致伸科技,電子代工,0.31,2026-06-05
00929,8016,矽創電子,IC設計,0.28,2026-06-05
00929,2393,億光電子,光電顯示,0.19,2026-06-05
00929,8454,富邦媒體,零售,0.18,2026-06-05
00929,2439,美律實業,其他電子,0.16,2026-06-05
00929,5388,中磊電子,網通設備,0.15,2026-06-05
00929,6561,是方電訊,電信服務,0.05,2026-06-05
00929,6412,群光電能,電源供應,0.02,2026-06-05
00713,4904,遠傳,電信服務,9.8,2026-06-05
00713,3045,台灣大,電信服務,8.91,2026-06-05
00713,1216,統一,食品,7.91,2026-06-05
00713,2880,華南金,金融,7.63,2026-06-05
00713,2912,統一超,零售,5.84,2026-06-05
00713,2884,玉山金,金融,3.54,2026-06-05
00713,2347,聯強,電子通路,2.77,2026-06-05
00713,2303,聯電,晶圓代工,2.53,2026-06-05
00713,2441,超豐,封測,2.32,2026-06-05
00713,2891,中信金,金融,2.26,2026-06-05
00713,3036,文曄,電子通路,2.16,2026-06-05
00713,6278,台表科,電子代工,1.92,2026-06-05
00713,6005,群益證,金融,1.76,2026-06-05
00713,5434,崇越,電子通路,1.74,2026-06-05
00713,2379,瑞昱,IC設計,1.63,2026-06-05
00713,2458,義隆,IC設計,1.62,2026-06-05
00713,2887,台新新光金,金融,1.5,2026-06-05
00713,2885,元大金,金融,1.49,2026-06-05
00713,6414,樺漢,電腦週邊,1.44,2026-06-05
00713,1215,卜蜂,食品,1.38,2026-06-05
00713,2357,華碩,電腦週邊,1.37,2026-06-05
00713,4766,南寶,塑化,1.27,2026-06-05
00713,3034,聯詠,IC設計,1.26,2026-06-05
00713,3406,玉晶光,光學鏡頭,1.23,2026-06-05
00713,2890,永豐金,金融,1.21,2026-06-05
00713,2474,可成,其他電子,1.11,2026-06-05
00713,2606,裕民,航運,1.1,2026-06-05
00713,3010,華立,電子通路,1.08,2026-06-05
00713,4938,和碩,電子代工,1.03,2026-06-05
00713,2618,長榮航,航運,1.02,2026-06-05
00713,2385,群光,電腦週邊,0.99,2026-06-05
00713,2610,華航,航運,0.96,2026-06-05
00713,9904,寶成,紡織製鞋,0.94,2026-06-05
00713,9939,宏全,食品,0.91,2026-06-05
00713,9917,中保科,其他,0.9,2026-06-05
00713,2850,新產,金融,0.86,2026-06-05
00713,4915,致伸,電子代工,0.83,2026-06-05
00713,2207,和泰車,汽車,0.7,2026-06-05
00713,2006,東和鋼鐵,鋼鐵,0.68,2026-06-05
00713,1210,大成,食品,0.62,2026-06-05
00713,2015,豐興,鋼鐵,0.51,2026-06-05
00713,9907,統一實,食品,0.47,2026-06-05
00713,2903,遠百,零售,0.4,2026-06-05
00713,5522,遠雄,水泥營建,0.15,2026-06-05
00713,9941,裕融,金融,0.09,2026-06-05
0052,2330,台積電,晶圓代工,64.12,2026-06-05
0052,2454,聯發科,IC設計,7.18,2026-06-05
0052,2317,鴻海,電子代工,3.94,2026-06-05
0052,3711,日月光投控,封測,2.14,2026-06-05
0052,2303,聯電,晶圓代工,1.61,2026-06-05
0052,2383,台光電,PCB,1.53,2026-06-05
0052,3037,欣興,PCB,1.43,2026-06-05
0052,2327,國巨*,被動元件,1.27,2026-06-05
0052,2382,廣達,電子代工,1.18,2026-06-05
0052,3017,奇鋐,散熱,0.97,2026-06-05
0052,2357,華碩,電腦週邊,0.67,2026-06-05
0052,6669,緯穎,電子代工,0.64,2026-06-05
0052,2344,華邦電,記憶體,0.62,2026-06-05
0052,3231,緯創,電子代工,0.59,2026-06-05
0052,2301,光寶科,電源供應,0.53,2026-06-05
0052,2408,南亞科,記憶體,0.49,2026-06-05
0052,7769,鴻勁,半導體設備材料,0.46,2026-06-05
0052,3481,群創,光電顯示,0.45,2026-06-05
0052,3665,貿聯-KY,連接器線材,0.42,2026-06-05
0052,3008,大立光,光學鏡頭,0.41,2026-06-05
0052,3443,創意,IC設計,0.4,2026-06-05
0052,2449,京元電子,封測,0.39,2026-06-05
0052,3661,世芯-KY,IC設計,0.38,2026-06-05
0052,3653,健策,散熱,0.35,2026-06-05
0052,2379,瑞昱,IC設計,0.33,2026-06-05
0052,3034,聯詠,IC設計,0.31,2026-06-05
0052,2337,旺宏,記憶體,0.3,2026-06-05
0052,2313,華通,PCB,0.29,2026-06-05
0052,6239,力成,封測,0.27,2026-06-05
0052,2395,研華,電腦週邊,0.26,2026-06-05
0052,3044,健鼎,PCB,0.25,2026-06-05
0052,6515,穎崴,半導體設備材料,0.24,2026-06-05
0052,3533,嘉澤,連接器線材,0.22,2026-06-05
0052,4938,和碩,電子代工,0.21,2026-06-05
0052,2324,仁寶,電子代工,0.2,2026-06-05
0052,2409,友達,光電顯示,0.19,2026-06-05
0052,2474,可成,其他電子,0.13,2026-06-05
0052,2347,聯強,電子通路,0.12,2026-06-05
0052,6805,富世達,其他電子,0.11,2026-06-05
0052,8210,勤誠,電腦週邊,0.1,2026-06-05
0052,3706,神達,電子代工,0.09,2026-06-05
0052,2451,創見,記憶體,0.07,2026-06-05
0052,5269,祥碩,IC設計,0.06,2026-06-05
0052,6176,瑞儀,光電顯示,0.05,2026-06-05
0052,6191,精成科,PCB,0.03,2026-06-05
00881,2330,台積電,晶圓代工,38.04,2026-06-05
00881,2454,聯發科,IC設計,10.5,2026-06-05
00881,2308,台達電,電源供應,7.97,2026-06-05
00881,2317,鴻海,電子代工,5.56,2026-06-05
00881,2303,聯電,晶圓代工,2.92,2026-06-05
00881,3037,欣興,PCB,2.89,2026-06-05
00881,2383,台光電,PCB,2.46,2026-06-05
00881,2360,致茂,半導體設備材料,2.37,2026-06-05
00881,2345,智邦,網通設備,2.2,2026-06-05
00881,2382,廣達,電子代工,1.92,2026-06-05
00881,3017,奇鋐,散熱,1.8,2026-06-05
00881,6274,台  燿,PCB,1.6,2026-06-05
00881,3231,緯創,電子代工,1.59,2026-06-05
00881,6223,旺矽,半導體設備材料,1.57,2026-06-05
00881,2368,金像電,PCB,1.38,2026-06-05
00881,3008,大立光,光學鏡頭,1.31,2026-06-05
00881,4958,臻鼎-KY,PCB,1.29,2026-06-05
00881,3665,貿聯-KY,連接器線材,1.23,2026-06-05
00881,2059,川湖,機械自動化,1.2,2026-06-05
00881,2449,京元電子,封測,1.1,2026-06-05
00881,2379,瑞昱,IC設計,0.97,2026-06-05
00881,3034,聯詠,IC設計,0.92,2026-06-05
00881,2313,華通,PCB,0.86,2026-06-05
00881,3045,台灣大,電信服務,0.82,2026-06-05
00881,4904,遠傳,電信服務,0.8,2026-06-05
00881,3036,文曄,電子通路,0.72,2026-06-05
00881,3105,穩懋,晶圓代工,0.69,2026-06-05
00881,4938,和碩,電子代工,0.68,2026-06-05
00922,2330,台積電,晶圓代工,40.0,2026-06-05
00922,2454,聯發科,IC設計,7.27,2026-06-05
00922,2308,台達電,電源供應,5.84,2026-06-05
00922,2317,鴻海,電子代工,4.13,2026-06-05
00922,3711,日月光投控,封測,2.75,2026-06-05
00922,2327,國巨,被動元件,2.19,2026-06-05
00922,2383,台光電,PCB,2.09,2026-06-05
00922,2303,聯電,晶圓代工,2.05,2026-06-05
00922,2345,智邦,網通設備,1.86,2026-06-05
00922,2891,中信金,金融,1.63,2026-06-05
00922,3017,奇鋐,散熱,1.44,2026-06-05
00922,2382,廣達,電子代工,1.4,2026-06-05
00922,2881,富邦金,金融,1.38,2026-06-05
00922,3037,欣興,PCB,1.36,2026-06-05
00922,2885,元大金,金融,1.18,2026-06-05
00922,2360,致茂,半導體設備材料,1.12,2026-06-05
00922,2887,台新新光金,金融,1.09,2026-06-05
00922,2357,華碩,電腦週邊,0.92,2026-06-05
00922,2883,凱基金,金融,0.87,2026-06-05
00922,3231,緯創,電子代工,0.79,2026-06-05
00922,2412,中華電,電信服務,0.76,2026-06-05
00922,2884,玉山金,金融,0.73,2026-06-05
00922,3008,大立光,光學鏡頭,0.72,2026-06-05
00922,5274,信  驊,IC設計,0.68,2026-06-05
00922,1303,南亞,塑化,0.67,2026-06-05
00922,2368,金像電,PCB,0.56,2026-06-05
00922,2379,瑞昱,IC設計,0.55,2026-06-05
00922,5871,中租-KY,金融,0.54,2026-06-05
00922,4958,臻鼎-KY,PCB,0.52,2026-06-05
00922,3034,聯詠,IC設計,0.51,2026-06-05
00922,3443,創意,IC設計,0.5,2026-06-05
00922,3653,健策,散熱,0.48,2026-06-05
00922,2880,華南金,金融,0.47,2026-06-05
00922,2892,第一金,金融,0.45,2026-06-05
00922,6446,藥華藥,生技醫療,0.41,2026-06-05
00922,1590,亞德客-KY,機械自動化,0.4,2026-06-05
00922,2449,京元電子,封測,0.39,2026-06-05
00922,6223,旺矽,半導體設備材料,0.37,2026-06-05
00922,3529,力旺,IC設計,0.36,2026-06-05
00992A,2330,台積電,晶圓代工,8.38,2026-06-05
